Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageAct	StdAct	MaxAct	MinAct	AverageRetBuf	StdRetBuf	MaxRetBuf	MinRetBuf	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	FPS
48	0.20742527	2.410074	0.94429827	-31.334652	3.76	48.574562	29.313917	98.0	0.0	0.10977717	2.4664125	0.94429827	-31.334652	0.08016946	0.05341055	0.20673417	-0.03150328	49000	-0.019319765	3.0333402	-0.00042994134	-0.00028927997	1.9319754	-5.883694e-06	0.0	4.0	133.22979092597961	371
49	0.28611127	1.3150808	0.93751013	-13.104195	3.7522123	51.386955	29.42452	99.0	1.0	0.23118673	1.0018001	0.93751013	-13.104195	0.07431883	0.051848255	0.18623754	-0.034473	50000	-0.01931631	0.513001	-0.0005175052	7.414073e-05	1.9316313	0.00012407637	0.0	4.0	136.17495226860046	341
50	0.40157905	0.7354767	0.9392325	-6.009872	3.7892377	47.696033	28.708778	99.0	0.0	0.32392454	0.6367167	0.9392325	-6.009872	0.07352632	0.05183589	0.20801967	-0.03662798	51000	-0.01931182	0.23666343	-0.0008194982	-0.00022711232	1.931184	9.585047e-05	0.0	4.0	138.92736887931824	366
51	0.3657672	1.3338541	0.935356	-9.152655	3.5948277	47.05128	30.184149	99.0	0.0	0.34156165	1.1124278	0.935356	-9.152655	0.074470915	0.052462738	0.19075018	-0.03658189	52000	-0.019308437	0.6514745	-0.0006833696	-0.0007872842	1.9308432	-7.3699004e-05	0.0	4.0	141.82658052444458	347
52	0.3100794	1.3765272	0.94692034	-15.598198	3.8818183	48.47982	28.345692	99.0	0.0	0.24299514	1.1184081	0.94692034	-15.598198	0.07709933	0.053221963	0.21431492	-0.030139	53000	-0.019302927	0.63748467	-0.0006251279	-0.0005716607	1.9302922	7.8039644e-05	0.0	4.0	144.59027123451233	364
53	0.26542616	2.01527	0.93588734	-26.267338	3.6929824	45.873913	29.31251	99.0	0.0	0.17333663	1.92962	0.93588734	-26.267338	0.085166305	0.055637307	0.20524475	-0.027718317	54000	-0.019296005	1.8612725	-0.00044755638	-0.0003315881	1.9296002	-3.4416676e-05	0.0	4.0	147.57178258895874	337
54	0.40257382	1.0914428	0.9342702	-13.104195	3.6608696	46.811157	29.551416	99.0	0.0	0.3522241	0.82587886	0.9342702	-13.104195	0.08653824	0.056487497	0.21760228	-0.03266895	55000	-0.01929178	0.37597656	-0.0007485994	-0.0008896962	1.9291787	-8.920812e-05	0.0	4.0	150.79806876182556	311
55	0.3310928	1.408098	0.9373734	-14.041631	3.6157205	50.722942	28.659237	99.0	0.0	0.25230476	1.4246513	0.9373734	-14.041631	0.089835204	0.058026895	0.2279397	-0.016041495	56000	-0.019288087	1.0227746	-0.000703102	-0.0007119179	1.9288092	-8.6789136e-05	0.0	4.0	153.56486129760742	364
56	0.32466772	1.6873846	0.939721	-22.831093	3.8733032	48.130043	27.204855	99.0	1.0	0.24666062	1.5841098	0.939721	-22.831093	0.09966733	0.059591603	0.23040459	-0.028098982	57000	-0.019276999	1.2627527	-0.00057063997	-0.0006075315	1.9276989	1.1188502e-05	0.0	4.0	156.3192653656006	365
57	0.44712326	0.6357396	0.94692034	-3.5111966	3.7212389	49.51965	28.410063	99.0	0.0	0.37560153	0.5477241	0.94692034	-3.5111966	0.1034362	0.06339559	0.24040681	-0.025636408	58000	-0.019272285	0.18948647	-0.0011890712	-0.0010546409	1.9272307	-0.00010607767	0.0	4.0	159.0596628189087	367
58	0.3438837	1.0532774	0.9343992	-6.943966	3.8026905	48.49115	28.344162	99.0	0.0	0.27100536	0.97746277	0.9343992	-6.943966	0.10974289	0.06454283	0.256783	-0.02058684	59000	-0.019265968	0.49023372	-0.0009028511	-0.0006702505	1.9265972	7.142735e-05	0.0	4.0	161.7496211528778	374
59	0.46571776	0.6714301	0.94429827	-4.4043217	3.7882884	54.690266	28.429567	99.0	0.0	0.3704703	0.60772794	0.94429827	-4.4043217	0.11554863	0.064982824	0.26629236	-0.017398477	60000	-0.019255873	0.22117005	-0.001522854	-0.0010625571	1.9255865	0.00012049008	0.0	4.0	164.9538905620575	314
60	0.3746987	1.0914286	0.9466293	-13.797447	3.8954546	51.286995	27.977379	99.0	0.0	0.27146903	1.0232017	0.9466293	-13.797447	0.122558974	0.0669909	0.2747929	0.006010905	61000	-0.019245706	0.53861785	-0.0010094726	-0.00054852106	1.9245715	0.0002843709	0.0	4.0	167.64440512657166	374
61	0.48414075	0.9710392	0.93751013	-11.121957	3.4579833	50.116665	27.78959	99.0	1.0	0.34278053	1.0815989	0.93751013	-11.121957	0.12211452	0.06706049	0.2702047	-0.012549274	62000	-0.019242048	0.61356103	-0.0011868551	-0.000805933	1.9242039	2.7041911e-05	0.0	4.0	170.8936653137207	309
